budget_code,budget_name,is_digital,description,fy2016_spending,fy2017_spending,fy2018_spending,fy2019_spending,fy2020_spending,fy2021_spending,fy2022_spending,fy2023_spending,fy2024_spending,fy2025_spending,top_expense_categories_fy25,top_vendors_fy25,pct_confirmed_digital_fy25
8811,MYCITY PROJECT,Digital,"Digital Service Project: One-stop portal for NYC services and benefits - child care, small business, jobs. Over 100,000 users.",0,0,0,0,0,0,0,5958924,27608780,19113087,PROF SERV COMPUTER SERVICES (50%); CONTRACTUAL SERVICES GENERAL (21%); DATA PROCESSING EQUIPMENT MAINTENANCE (13%); PROF SERV OTHER (9%); OTHR SERV AND CHRGS-GENERAL (6%); PROMPT PAYMENT INTEREST (0%),"SHI INTERNATIONAL CORP (50%); CDW GOVERNMENT LLC (17%); PRUTECH SOLUTIONS, INC (8%); DELL MARKETING LP (3%); GAZELLE GLOBALIZATION GROUP LL (3%); COMPULINK TECHNOLOGIES INC (3%); RANGAM CONSULTANTS INC (2%); WORLD WIDE TECHNOLOGY LLC (2%); MOBILITY CAPITAL FINANCE INC (2%); KAMBRIAN CORPORATION (1%)",50.0
6111,DOBNOW PROJECT,Digital,"Digital Service Project: Department of Buildings online portal for permits, inspections, compliance. Replaced old BIS system.",10027,18086,14108,6242822,11288830,12853527,8209593,11164635,11600084,7671809,PROF SERV COMPUTER SERVICES (96%); PROF SERV OTHER (2%); PAYMENTS TO CULTURAL INSTITUTN (2%); SUPPLIES + MATERIALS - GENERAL (0%),SPRUCE TECHNOLOGY INC (91%); RCI TECHNOLOGIES INC (8%); BROOKLYN MUSEUM OF ART (2%); DIAMOND PROMOTIONS INC (0%); JP MORGAN CHASE BANK NA (0%); WORLD OF PROMOTIONS (0%); STAPLES CONTRACT & COMMERCIAL LLC (0%); DESIGN BRAND PRINT SERVICES INC (0%); BUYCHEAPCENTRAL INC (0%); MULTI MEDIA PROMOS LLC (0%),96.0
NOW2,DOB NOW IMPLEMENTATION,Digital,Digital Service Project: DOB NOW implementation at 280 Broadway. Part of Building One City modernization plan.,0,3999334,13573580,7513380,4502099,6770635,462664,2738675,1709399,3934758,CAPITAL PURCHASED EQUIPMENT (100%),SPRUCE TECHNOLOGY INC (100%),0.0
NGEN,NEXT GENERATION 9-1-1,Digital,"Digital Service Project: IP-based 911 system with voice, photos, videos, text. Handles 9M+ calls/year.",0,364199,1435440,3809216,2969795,9032088,11711203,11858610,13984736,15175864,CAPITAL PURCHASED EQUIPMENT (100%),"UNIVERSAL TECHNOLOGIES, LLC (26%); MILLENNIUM INFO TECH INC (9%); Evergreen Technologies LLC (6%); STRATFORD SOLUTIONS INC (6%); RANGAM CONSULTANTS INC (5%); UNIQUE COMP INC (5%); INFOPEOPLE CORPORATION (5%); Layatech And Logistics LLC (5%); K SYSTEMS SOLUTIONS LLC (4%); PEER CONSULTING RESOURCES INC (4%)",0.0
1300,NYC CYBER COMMAND,Digital,Cybersecurity: 24/7 SOC protecting 100+ agencies. Handles 90 billion cyber events/week.,9461354,10779183,8350800,25886281,43125510,73221063,94386208,116364605,97097271,85449025,DATA PROCESSING EQUIPMENT MAINTENANCE (54%); Payroll Summary (24%); PROF SERV OTHER (14%); PROF SERV COMPUTER SERVICES (4%); EXPENSE ONLY FUNDED SBITA (1%); EQUIPMENT GENERAL (1%); CONTRACTUAL SERVICES GENERAL (0%); OTHR SERV AND CHRGS-GENERAL (0%); TELEPHONE & OTHER COMMUNICATNS (0%); PROF SERV LEGAL SERVICES (0%),SHI INTERNATIONAL CORP (40%); CDW GOVERNMENT LLC (26%); NEW YORK CITY CYBER COMMAND (15%); OFFICE OF ADMINISTRATION (4%); PERSONAL SERVICES (3%); DELOITTE CONSULTING LLP (2%); INTERNATIONAL BUSINESS MACHINES CORP (2%); EXECUTIVE AND OPERATIONS SUPPORT (2%); EXEC ADM & PLANN MGT. (1%); PROTEK INFORMATION TECHNOLOGY SERVICES LLC (1%),5.0
1330,SMALL BUSINESS PORTAL - IT/TECH,Digital,"Digital Service Project: SBS Connect & MyCity Business platforms for business services, permits, financing.",0,0,0,0,0,0,0,662666,1022045,1352265,PROF SERV COMPUTER SERVICES (72%); Payroll Summary (21%); PURCH DATA PROCESSING EQUIPT (7%); SUPPLIES + MATERIALS - GENERAL (0%),"PEER CONSULTING RESOURCES INC (30%); DEPT. OF BUSINESS P.S. (21%); SPRUCE TECHNOLOGY INC (19%); PRUTECH SOLUTIONS, INC (14%); Visionaryz Inc (8%); DELL MARKETING LP (7%); DERIVE TECHNOLOGIES LLC (0%)",72.0
0711,PUBLIC SAFETY IT SERVICES,Digital,"Digital Service Category: IT services and systems for public safety agencies (police, fire, emergency services). Ongoing operational category.",0,0,0,0,0,55761445,58831249,62385063,61254095,71421398,DATA PROCESSING EQUIPMENT MAINTENANCE (41%); TELEPHONE & OTHER COMMUNICATNS (30%); Payroll Summary (11%); CONTRACTUAL SERVICES GENERAL (6%); PROF SERV OTHER (6%); PROF SERV COMPUTER SERVICES (2%); MAINT & REP GENERAL (1%); TELECOMMUNICATIONS MAINT (1%); PURCH DATA PROCESSING EQUIPT (0%); TELECOMMUNICATIONS EQUIPMENT (0%),VERIZON BUSINESS NETWORK SERVICES LLC (27%); NICE SYSTEMS INCORPORATED (13%); MOTOROLA SOLUTIONS CONNECTIVITY INC (11%); 911 TECHNICAL OPERATIONS- PS (11%); CDW GOVERNMENT LLC (8%); WORLD WIDE TECHNOLOGY LLC (6%); PRESIDIO NETWORKED SOLUTIONS GROUP LLC (4%); SHI INTERNATIONAL CORP (4%); MASON TECHNOLOGIES INC (2%); CROWN CASTLE FIBER LLC (2%),2.0
3131,APPLICATIONS,Mixed,Digital Service Category: Custom software application development and maintenance. Core digital services work (18F-type).,508717,142705,690461,462861,442177,106197,19999626,21044152,25267450,19960499,Payroll Summary (55%); DATA PROCESSING EQUIPMENT MAINTENANCE (15%); PROF SERV OTHER (14%); PROF SERV COMPUTER SERVICES (12%); CONTRACTUAL SERVICES GENERAL (3%); EXPENSE ONLY FUNDED SBITA (1%); OTHR SERV AND CHRGS-GENERAL (0%); PURCH DATA PROCESSING EQUIPT (0%),TECHNOLOGY SERVICES - PS (55%); INTERNATIONAL BUSINESS MACHINES CORP (14%); SHI INTERNATIONAL CORP (9%); CDW GOVERNMENT LLC (5%); MYTHICS LLC (4%); ABRAHAMS CONSULTING LLC (4%); K SYSTEMS SOLUTIONS LLC (3%); COMPULINK TECHNOLOGIES INC (2%); RCI TECHNOLOGIES INC (2%); N/A (PRIVACY/SECURITY) (1%),13.0
3310,INFRASTRUCTURE TECH ARCHITECTURE,Mixed,"Digital Service Category: IT infrastructure design, cloud architecture, system architecture, DevOps. Digital services consulting.",9206176,10903743,12230943,14614976,14787033,13935129,6707116,13888973,14138133,26251139,Payroll Summary (42%); DATA PROCESSING EQUIPMENT MAINTENANCE (27%); PROF SERV OTHER (21%); DATA PROCESSING SERVICES (5%); PROF SERV COMPUTER SERVICES (4%); CONTRACTUAL SERVICES GENERAL (2%); OTHR SERV AND CHRGS-GENERAL (0%); EXPENSE ONLY FUNDED SBITA (0%); MAINT & REP GENERAL (0%); SUPPLIES + MATERIALS - GENERAL (0%),SHI INTERNATIONAL CORP (42%); DISEASE CONTROL - PS (26%); EXECUTIVE ADMINISTRATIVE (14%); WORLD WIDE TECHNOLOGY LLC (6%); OPTINET COMMUNICATIONS INC (4%); CDW GOVERNMENT LLC (2%); DESIGN & ENGINEERING PS (2%); RAJ SOMAS (2%); MICROSOFT CORPORATION (1%); ABRAHAMS CONSULTING LLC (0%),4.0
1290,DCAS IT,Mixed,Digital Service Category: Department of Citywide Administrative Services IT operations and services.,1365917,1600537,1569971,1858592,3008654,2133359,2364321,3153898,3255691,3225121,Payroll Summary (40%); PROF SERV COMPUTER SERVICES (24%); OTHR SERV AND CHRGS-GENERAL (11%); CONTRACTUAL SERVICES GENERAL (7%); DATA PROCESSING EQUIPMENT MAINTENANCE (6%); EXPENSE ONLY FUNDED SBITA (4%); BOOKS-OTHER (3%); PURCH DATA PROCESSING EQUIPT (2%); ADVERTISING (1%); SUPPLIES + MATERIALS - GENERAL (1%),"EXEC ADM & PLANN MGT. (36%); AITA CONSULTING SERVICES INC (7%); NEW YORK CITY ECONOMIC DEVELOPMENT CORPORATION (7%); PRUTECH SOLUTIONS, INC (6%); WORLD WIDE TECHNOLOGY LLC (6%); SVAM INTERNATIONAL INC (4%); PEER CONSULTING RESOURCES INC (4%); JEDI ARK CORP (4%); OFFICE OF ADMINISTRATION (3%); SHI INTERNATIONAL CORP (3%)",28.0
