expense_category,is_digital,description,fy2016_spending,fy2017_spending,fy2018_spending,fy2019_spending,fy2020_spending,fy2021_spending,fy2022_spending,fy2023_spending,fy2024_spending,fy2025_spending,pct_digital_vendors_fy25,top_vendors_fy25,top_budget_codes_fy25
DATA PROCESSING EQUIPMENT MAINTENANCE,Mixed,"Software licensing and hardware maintenance contracts. Dominated by IT resellers (SHI, CDW) who bundle hardware and software, making it difficult to distinguish.",268831949,261555938,307929793,366984502,338201758,431952590,447521779,526012290,501909471,569698208,87.7,CDW GOVERNMENT LLC (21%); SHI INTERNATIONAL CORP (18%); INTERNATIONAL BUSINESS MACHINES CORP (8%); WORLD WIDE TECHNOLOGY LLC (8%); DELL MARKETING LP (8%); AGILANT SOLUTIONS INC (5%); NTT DATA AMERICAS INC (4%); PRESIDIO NETWORKED SOLUTIONS GROUP LLC (3%); MYTHICS LLC (3%); COMPULINK TECHNOLOGIES INC (2%),"4601 (16%, MANAGEMENT INFORMATION SYSTEMS); 1300 (11%, NYC CYBER COMMAND); 4301 (6%, GE INST & SCHOOL SUPERVISION ELE/MIDDLE); 0711 (6%, PUBLIC SAFETY IT SERVICES); 3334 (5%, MICROSOFT ELA INTRA-CITY FUNDING); 3307 (4%, TECHNOLOGY DEVELOPMENT & SYSTEMS); 9912 (4%, MANAGEMENT INFORMATION SYSTEMS); 7719 (4%, DIIT); 1054 (4%, MANAGEMENT INFORMATION SERVICE); 3200 (3%, IU - MAINFRAME)"
CONTRACTUAL SERVICES GENERAL,Mixed,Catch-all category for general contracting. Includes IT services but also non-digital contracts.,1184670159,1297860861,1416706057,1012053644,1068266345,1059791622,1900629128,1597478178,1578235480,1358748423,15.1,"FUND FOR PUBLIC HEALTH IN NEW YORK INC (6%); VEXCEL CORPORATION (5%); PUBLIC HEALTH SOLUTIONS (3%); RAPID RELIABLE TESTING NY LLC (3%); INNOVATIVE BUSINESS CONCEPTS,INC (2%); NEW YORK CITY ECONOMIC DEVELOPMENT CORPORATION (2%); MTX GROUP INC (2%); HAGERTY CONSULTING INC. HAGERTY CONSULTING (2%); CLEAN & GREEN RECYCLING CORP (2%); RIS NYC (2%)","0254 (6%, SLUDGE DISPOSAL CONTRACTS); M001 (4%, ASYLUM SUPPORT); 2756 (4%, FFY23 URBAN AREA SECURITY INITIATIVE); M002 (3%, ASYLUM SUPPORT); M011 (3%, AUSTELL PLACE); 8520 (2%, NYC15 RENTAL ASSISTANCE- TL); 161B (2%, COMMUNICATIONS DIVISION); 6224 (2%, FILTRATION AVOIDANCE); M001 (2%, ASLYUM SUPPORT); 9015 (2%, BOOTING OPERATIONS)"
PROF SERV COMPUTER SERVICES,Digital,IT consulting and professional services. Core digital services category funding custom development and technical consulting.,135393556,169003312,157875767,218089609,225058136,251406296,231254716,298911453,250596345,278946945,93.8,"PRUTECH SOLUTIONS, INC (13%); NAGARRO INC (13%); CLOUD SOFTWARE GROUP, INC. (6%); SPRUCE TECHNOLOGY INC (5%); CDW GOVERNMENT LLC (4%); ACCENTURE LLP (4%); SHI INTERNATIONAL CORP (4%); SoundThinking Inc (3%); INTERNATIONAL BUSINESS MACHINES CORP (3%); CURRIER MCCABE & ASSOCIATES INC (3%)","7719 (21%, DIIT); 4601 (10%, MANAGEMENT INFORMATION SYSTEMS); 9912 (7%, MANAGEMENT INFORMATION SYSTEMS); 9940 (6%, DHS ITS); 4648 (4%, GE CENTRAL MANAGED SCH SUPP); 8811 (3%, MYCITY PROJECT); 6111 (3%, DOBNOW PROJECT); 0901 (3%, TECHNOLOGY STRATEGY); 8247 (2%, DATASHARE - ASSET FORFEITURE GRANT); 3307 (2%, TECHNOLOGY DEVELOPMENT & SYSTEMS)"
CAPITAL PURCHASED EQUIPMENT,Mixed,"Capital IT purchases. Mix of hardware and software — includes pure software vendors (Spruce, Prutech) but also hardware resellers.",1010589051,746671125,937130229,1039449396,1327516034,1083115886,988677905,1095965280,991283416,977503655,30.5,"GABRIELLI TRUCK SALES LTD (15%); Motorola Solutions, Inc (10%); REV AMBULANCE GROUP ORLANDO INC (7%); CDW GOVERNMENT LLC (6%); METROPOLITAN TRANSPORTATION AUTHORITY (5%); GLOBAL ENVIRONMENTAL PRODUCTS INC (4%); SEAGRAVE FIRE APPARATUS LLC (3%); MACK TRUCKS INC (2%); SHI INTERNATIONAL CORP (2%); NEW YORK CITY HOUSING AUTHORITY (2%)","C230 (11%, DSNY PURCHASE OF 130 DIESEL STREET SWEEP); C240 (5%, DSNY, CITY-WIDE: VEHICLE PURCHASES INCL); APX4 (5%, NYPD, CITYWIDE: PURCHASE OF 8,889 APEX); AF72 (5%, HHC & FDNY PURCHASE & INITIAL OUTFITTING); NBWT (2%, WATER POLLUTION PLANTS, CITYWIDE: INSTAL); APX3 (2%, NYPD, CITYWIDE: PURCHASE OF 10,150 APEX); AF73 (2%, FDNY - PURCHASE OF 79 TYPE 1 AMBULANCES); DBC1 (2%, MTA / NYCT: PURCHASE AND INSTALL 7 ELECT); NGEN (2%, DOITT: NEXT GENERATION 9-1-1 PROGRAM (NG); C241 (1%, DSNY, CITY-WIDE: PURCHASE 34 SALT SPREAD)"
PROF SERV OTHER,Mixed,"Professional services not elsewhere classified. In practice, primarily IT consulting through CDW, Cogent, SHI, and Deloitte.",365376965,401722727,417792230,428769932,539573928,752799192,803831635,666223827,808825099,746007712,9.4,"GARNER ENVIRONMENTAL SERVICES INC (26%); SHI INTERNATIONAL CORP (2%); UNITED FEDERATION OF TEACHERS EDUCATIONAL FOUNDATION INC (2%); NYC KIDS RISE INC (2%); CDW GOVERNMENT LLC (2%); HAGERTY CONSULTING INC. HAGERTY CONSULTING (2%); HLN CONSULTING LLC (2%); UNITED COMMUNITY SCHOOLS INC (1%); CENTER FOR SUPPORTIVE SCHOOLS, INC. (1%); PARTNERSHIP WITH CHILDREN, INC. (1%)","M491 (22%, ASYLUM SEEKERS); 4335 (15%, OFFICE OF COMMUNITY SCHOOLS); 8843 (5%, REIMBURSEABLE SUPPORT-GE INST ELE/MID/HS); M493 (4%, ASYLUM BASECAMP); 0201 (4%, DEPARTMENTAL OPERATIONS); L481 (3%, ARPA FOR LEARNING LOSS); 4648 (3%, GE CENTRAL MANAGED SCH SUPP); 8888 (3%, REIMBUR SUP-CENTL SCH SUP PROG & SERV); 1300 (2%, NYC CYBER COMMAND); 2900 (2%, OFFICE OF FINANCIAL EMPOWERMENT)"
CONSTRUCTION-BUILDINGS,Mixed,"Capital IT projects coded as construction. Despite the name, primarily funds technology vendors like Prutech and Spruce for system implementation.",6734914017,6814862509,6741377106,7574975660,7252626994,5941618993,7510652606,9084797429,11795965607,11749780764,1.7,NYC SCHOOL CONSTRUCTION AUTHORITY (33%); NEW YORK CITY HOUSING DEVELOPMENT CORP (15%); NEW YORK CITY ECONOMIC DEVELOPMENT CORPORATION (3%); NEW YORK CITY HOUSING AUTHORITY (2%); TECHNICO CONSTRUCTION SERVICES INC. (1%); ACE AMERICAN INSURANCE CO. (1%); NAVILLUS TILE INC (1%); ADAM'S EUROPEAN CONTRACTING INC (1%); LEON D. DEMATTEIS CONSTRUCTION CORP (1%); TDX CONSTRUCTION CORP (1%),"E706 (45%, IMPLEMENTATION OF THE SEVENTH FIVE-YEAR); E707 (4%, IMPLEMENTATION OF THE EIGTH FIVE-YEAR ED); E707 (3%, 040 E-2366); LNPL (2%, LINDEN PLAZA, YEAR 15 - LIHTC PRESERVATI); PAFS (1%, FRED SAM HOUSES, BX: 660 RESIDENTIAL APT); E705 (1%, 6TH PLAN - BL 2364); PABB (1%, BBM (BOSTON SECOR, BOSTON RD, MIDDLETOWN); PHL2 (1%, PUBLIC HEALTH LAB, 40 WEST 137TH ST, MN:); D00R (1%, CITY COUNCIL ADDITIONS TO THE FIVE-YEAR); LDPL (1%, LINDEN PLAZA, YEAR 15 - LIHTC PRESERVATI)"
DATA PROCESSING SUPPLIES,Mixed,"Software licensing and IT supplies. Funds vendors like ConvergeOne, CDW, and SHI despite the hardware-sounding name.",70965577,93558134,80484371,93152140,83011208,121808508,146353450,152536153,144043939,169504348,28.0,"CDW GOVERNMENT LLC (12%); CURRICULUM ASSOCIATES LLC (9%); SHI INTERNATIONAL CORP (6%); CONVERGEONE GOVERNMENT SOLUTIONS LLC (4%); HOUGHTON MIFFLIN HARCOURT PUBLISHING COMPANY (3%); TEACHING STRATEGIES LLC (3%); IMAGINE LEARNING LLC (3%); DELL MARKETING LP (2%); N/A (PRIVACY/SECURITY) (2%); IXL LEARNING, INC (2%)","8843 (20%, REIMBURSEABLE SUPPORT-GE INST ELE/MID/HS); 4301 (6%, GE INST & SCHOOL SUPERVISION ELE/MIDDLE); 9912 (5%, MANAGEMENT INFORMATION SYSTEMS); 4315 (4%, NYSTL - ELEMENTARY / MIDDLE); 4601 (4%, GE INSTRUCTION & SCHOOL SUPERVISION - HS); 4150 (4%, NYC READS AND SOLVES - CENTRALLY MANAGED); 1084 (4%, INFORMATION TECHNOLOGY-OTPS); 4601 (3%, MANAGEMENT INFORMATION SYSTEMS); 8807 (3%, UPK DOE CENTRAL); 1150 (3%, INFORMATION TECHNOLOGY)"
TELEPHONE & OTHER COMMUNICATNS,Mixed,Telecommunications infrastructure. Primarily Verizon for Public Safety IT network services.,235296676,193368119,196125601,221660999,171263307,267136598,243674791,271643955,354177987,258627003,0.4,VERIZON BUSINESS NETWORK SERVICES LLC (32%); CROWN CASTLE FIBER LLC (21%); AT&T CORP (15%); CABLEVISION LIGHTPATH (7%); CELLCO PARTNERSHIP (7%); TIME WARNER CABLE NEW YORK CITY LLC (6%); MANHATTAN TELECOMMUNICATIONS CORPORATION (5%); CenturyLInk Communications LLC (3%); T-MOBILE USA INC (3%); ZAYO GROUP LLC (0%),"5200 (44%, TELECOM SERVICES - I/C); 4648 (28%, GE CENTRAL MANAGED SCH SUPP); 8801 (10%, BIG APPLE CONNECT); 0711 (9%, PUBLIC SAFETY IT SERVICES); 1101 (2%, 311 - CITY); 7719 (1%, DIIT); CV17 (1%, CORONAVIRUS - SHELTER WIFI - CTL); 3510 (1%, TELECOM OPERATION); 0631 (0%, 311 TELECOMM MODERNIZATION); M001 (0%, ASLYUM SUPPORT)"
PURCH DATA PROCESSING EQUIPT,Mixed,"IT equipment purchases. Primarily hardware resellers (CDW, Compulink), though some software/services included.",53052334,49152789,44889103,36677118,36580555,39182460,57400543,47187521,38678226,46650960,72.0,CDW GOVERNMENT LLC (29%); COMPULINK TECHNOLOGIES INC (9%); QUALITY AND ASSURANCE TECHNOLOGY CORP (7%); DELL MARKETING LP (7%); SHI INTERNATIONAL CORP (6%); HP INC (4%); WORLD WIDE TECHNOLOGY LLC (3%); AT&T MOBILITY LLC (3%); N/A (PRIVACY/SECURITY) (2%); THE REMI GROUP LLC (2%),"1150 (10%, INFORMATION TECHNOLOGY); 1000 (5%, ADMINISTRATION); 6400 (5%, QUEENSBOROUGH COMM COLLEGE); 6300 (5%, BRONX COMMUNITY COLLEGE); 1602 (4%, R I TELECOMMUNICATIONS); 8003 (3%, HEALTH AFFAIRS); 3004 (3%, PC PURCHASING CONSOLIDATION); 6615 (3%, BMCC TECHNOLOGY FEES); 8297 (2%, TELEMATICS DEVICES); 4122 (2%, SIGNALS VTCS-TMC TEA)"
ADMINISTRATIVE EXPENSES,Mixed,"Administrative costs including IT vendors (Universal Technologies, Gartner) but category is broad. Primarily funds capital projects.",296373981,286631435,381600708,366134890,389984979,390663367,405775340,371264814,451721942,407288998,7.7,NYC SCHOOL CONSTRUCTION AUTHORITY (70%); NYC OFFICE OF LABOR RELATIONS (4%); NEW YORK CITY BOARD OF EDUCATION RETIREMENT SYSTEM (3%); CELTIC HOLDINGS LLC (2%); KPMG LLP (2%); AMTEX SYSTEM INC (1%); HEALTH INSURANCE PLAN OF GREATER  NEW YORK (1%); WATERBRIDGE COURT SQUARE HOLDINGS LLC (1%); NYCERS-PENSION FUNDING (1%); SVAM INTERNATIONAL INC (1%),"E707 (53%, 040 E-2366); E706 (31%, IMPLEMENTATION OF THE SEVENTH FIVE-YEAR); E707 (15%, IMPLEMENTATION OF THE EIGTH FIVE-YEAR ED); E705 (0%, IMPLEMENTATION OF THE SIXTH FIVE-YEAR ED); E705 (0%, 6TH PLAN - BL 2364)"
