vendor,is_digital,agencies,description,transaction_count,fy2016_spending,fy2017_spending,fy2018_spending,fy2019_spending,fy2020_spending,fy2021_spending,fy2022_spending,fy2023_spending,fy2024_spending,fy2025_spending,budget_codes_fy25,expense_categories_fy25,pct_confirmed_digital_fy25
CDW GOVERNMENT LLC,Mixed,Administration for Children's Services; Board of Correction; Board of Elections; Borough President - Bronx; Borough President - Brooklyn; Borough President - Manhattan; Borough President - Queens; Borough President - Staten Island; Brooklyn Community Board # 8; Business Integrity Commission; Campaign Finance Board; City Clerk; City Council; City University of New York; Conflicts of Interest Board; Department for the Aging; Department of Buildings; Department of Citywide Administrative Services; Department of Consumer & Worker Protection; Department of Correction; Department of Design and Construction; Department of Education; Department of Emergency Management; Department of Environmental Protection; Department of Finance; Department of Health and Mental Hygiene; Department of Homeless Services; Department of Information Technology and Telecommunications; Department of Parks and Recreation; Department of Probation; Department of Records and Information Services; Department of Sanitation; Department of Social Services; Department of Transportation; Equal Employment Practices Commission; Financial Information Services Agency; Fire Department; Housing Preservation and Development; Independent Budget Office; Landmarks Preservation Commission; Law Department; Mayoralty; NYC Taxi and Limousine Commission; New York Public Library; OFFICE OF CRIMINAL JUSTICE; OFFICE OF RACIAL EQUITY; Office of Administrative Tax Appeals; Police Department; SCHOOL CONSTRUCTION AUTHORITY; Staten Island Community Board # 3,Digital Velocity Services for custom solutions + application modernization,10000,215744522,302568536,337014085,315560095,286024173,353525062,667468639,486801902,626913358,568544544,"8843 (10%, REIMBURSEABLE SUPPORT-GE INST ELE/MID/HS); 4601 (8%, MANAGEMENT INFORMATION SYSTEMS); 7719 (6%, DIIT); 1300 (5%, NYC CYBER COMMAND); 03DT (5%, CITY COUNCIL FUNDING FOR DOE PUBLIC SCHO); 4301 (4%, GE INST & SCHOOL SUPERVISION ELE/MIDDLE); 8815 (3%, SSBA); PALA (3%, FDNY, CITY-WIDE: NETWORK FIREWALL UPGRAD); 3330 (2%, IT OPERATIONS - DATA PROTECTION SERVICES); LPR1 (2%, NYPD, CITYWIDE: PURCHASE & INSTALL OF LI)",SUPPLIES + MATERIALS - GENERAL (22%); DATA PROCESSING EQUIPMENT MAINTENANCE (21%); EQUIPMENT GENERAL (11%); CONSTRUCTION-BUILDINGS (10%); CAPITAL PURCHASED EQUIPMENT (10%); CAPITAL ONLY FUNDED SBITA (6%); SPLIT FUNDED SBITA (4%); DATA PROCESSING SUPPLIES (3%); PURCH DATA PROCESSING EQUIPT (2%); PROF SERV OTHER (2%),6.0
SHI INTERNATIONAL CORP,Mixed,Administration for Children's Services; Board of Correction; Board of Elections; Borough President - Bronx; Borough President - Brooklyn; Borough President - Manhattan; Borough President - Queens; Borough President - Staten Island; Business Integrity Commission; COMMISSION ON RACIAL EQUITY; Campaign Finance Board; City Clerk; City Council; City University of New York; Civil Service Commission; Civilian Complaint Review Board; Commission on Human Rights; Conflicts of Interest Board; Department for the Aging; Department of Buildings; Department of City Planning; Department of Citywide Administrative Services; Department of Consumer & Worker Protection; Department of Correction; Department of Cultural Affairs; Department of Design and Construction; Department of Education; Department of Emergency Management; Department of Environmental Protection; Department of Finance; Department of Health and Mental Hygiene; Department of Homeless Services; Department of Information Technology and Telecommunications; Department of Parks and Recreation; Department of Probation; Department of Records and Information Services; Department of Sanitation; Department of Small Business Services; Department of Social Services; Department of Transportation; Department of Veterans' Services; Department of Youth and Community Development; Equal Employment Practices Commission; Financial Information Services Agency; Fire Department; Housing Preservation and Development; Independent Budget Office; Landmarks Preservation Commission; Law Department; Mayoralty; NYC Taxi and Limousine Commission; New York Public Library; New York Research Libraries; OFFICE OF CRIMINAL JUSTICE; Office of Administrative Tax Appeals; Office of Administrative Trials and Hearings; Office of Collective Bargaining; Office of Payroll Administration; Office of the Actuary; Office of the Comptroller; Police Department; Queens Community Board # 2; SCHOOL CONSTRUCTION AUTHORITY,Platform integration (Vail smart city) + Digital AI Ambassador development platform,1575,20165789,10224399,12683741,52561555,145668045,132805112,186943515,219367245,191861259,287570525,"1300 (16%, NYC CYBER COMMAND); VMLA (12%, OTI: PURCHASE OF CITYWIDE VMWARE ENTERPR); 3310 (7%, INFRASTRUCTURE TECH ARCHITECTURE); ESRT (7%, OTI: PURCHASE & IMPLEMENTATION OF TRELLI); MYCB (4%, OTI: MYCITY BUSINESS PORTAL APPLICATION); 8811 (3%, MYCITY PROJECT); 4601 (3%, MANAGEMENT INFORMATION SYSTEMS); 9912 (3%, MANAGEMENT INFORMATION SYSTEMS); 3200 (3%, IU - MAINFRAME); 7719 (3%, DIIT)",DATA PROCESSING EQUIPMENT MAINTENANCE (36%); CAPITAL ONLY FUNDED SBITA (28%); CAPITAL PURCHASED EQUIPMENT (7%); PROF SERV OTHER (5%); SUPPLIES + MATERIALS - GENERAL (4%); CONTRACTUAL SERVICES GENERAL (4%); DATA PROCESSING SUPPLIES (4%); PROF SERV COMPUTER SERVICES (3%); SPLIT FUNDED SBITA (2%); BOOKS-OTHER (1%),31.0
DELL MARKETING LP,Mixed,Administration for Children's Services; Board of Correction; Borough President - Brooklyn; Brooklyn Community Board # 1; Brooklyn Community Board # 13; Brooklyn Community Board # 16; Campaign Finance Board; City Clerk; City Council; City University of New York; Civilian Complaint Review Board; Department of Buildings; Department of City Planning; Department of Citywide Administrative Services; Department of Consumer & Worker Protection; Department of Correction; Department of Design and Construction; Department of Education; Department of Emergency Management; Department of Environmental Protection; Department of Finance; Department of Health and Mental Hygiene; Department of Information Technology and Telecommunications; Department of Parks and Recreation; Department of Records and Information Services; Department of Sanitation; Department of Small Business Services; Department of Social Services; Department of Transportation; Department of Youth and Community Development; Financial Information Services Agency; Fire Department; Housing Preservation and Development; Independent Budget Office; Law Department; Manhattan Community Board # 3; Mayoralty; NYC Taxi and Limousine Commission; OFFICE OF CRIMINAL JUSTICE; Office of Collective Bargaining; Office of the Comptroller; Police Department; Queens Borough Public Library; Queens Community Board # 5; Queens Community Board # 6; Queens Community Board # 9; SCHOOL CONSTRUCTION AUTHORITY,"IT hardware vendor + cloud services, software, digital solutions for government",432,80218859,67804131,63234381,110728709,75410784,256621733,132039779,67224265,131287973,78663517,"3334 (38%, MICROSOFT ELA INTRA-CITY FUNDING); DCRM (14%, OTI: 311 CUSTOMER SERVICE MANAGEMENT SYS); 5204 (7%, CLOUD SERVICES - I/C); 3204 (6%, IU MAINFRAME - I/C); 7719 (5%, DIIT); 8100 (4%, CITYWIDE SUPPORT); 4601 (2%, MANAGEMENT INFORMATION SYSTEMS); 6300 (2%, BRONX COMMUNITY COLLEGE); 4604 (2%, MISD-TREASURY); LNW6 (2%, NYPD, CITYWIDE: PURCHASE OF 7,000 DESKTO)",DATA PROCESSING EQUIPMENT MAINTENANCE (54%); CAPITAL ONLY FUNDED SBITA (14%); DATA PROCESSING SERVICES (7%); DATA PROCESSING SUPPLIES (5%); SUPPLIES + MATERIALS - GENERAL (5%); PURCH DATA PROCESSING EQUIPT (4%); OTHR SERV AND CHRGS-GENERAL (4%); CAPITAL PURCHASED EQUIPMENT (3%); PROF SERV COMPUTER SERVICES (0%); CONTRACTUAL SERVICES GENERAL (0%),14.0
INTERNATIONAL BUSINESS MACHINES CORP,Mixed,City University of New York; Department for the Aging; Department of Consumer & Worker Protection; Department of Education; Department of Environmental Protection; Department of Health and Mental Hygiene; Department of Information Technology and Telecommunications; Department of Social Services; Financial Information Services Agency; Office of Payroll Administration; Police Department; SCHOOL CONSTRUCTION AUTHORITY,IBM iX digital consultancy + application development using agile/DevSecOps,366,203193736,109824938,78719954,76644308,101547798,125031286,111524706,115461541,100934248,71390926,"4601 (30%, MANAGEMENT INFORMATION SYSTEMS); 8247 (9%, DATASHARE - ASSET FORFEITURE GRANT); 3204 (9%, IU MAINFRAME - I/C); 5000 (8%, CITYTIME); TEC5 (8%, BL 2365_TEC5); 3200 (8%, IU - MAINFRAME); 3131 (7%, APPLICATIONS); 0101 (6%, INTERNAL AUDIT); 311C (5%, OTI 311 MOBILE APPLICATION IT EQUIPMENT); 1300 (3%, NYC CYBER COMMAND)",DATA PROCESSING EQUIPMENT MAINTENANCE (65%); PROF SERV COMPUTER SERVICES (13%); CONSTRUCTION-BUILDINGS (8%); PROF SERV OTHER (7%); CAPITAL PURCHASED EQUIPMENT (5%); CONTRACTUAL SERVICES GENERAL (1%); OTHR SERV AND CHRGS-GENERAL (0%); DATA PROCESSING SUPPLIES (0%); PROMPT PAYMENT INTEREST (0%),13.0
"Motorola Solutions, Inc",Mixed,Administration for Children's Services; Department of Citywide Administrative Services; Department of Correction; Department of Emergency Management; Department of Environmental Protection; Department of Finance; Department of Health and Mental Hygiene; Department of Information Technology and Telecommunications; Department of Parks and Recreation; Department of Sanitation; Department of Transportation; Fire Department; Health and Hospitals Corporation; Housing Preservation and Development; Police Department,Command center software platforms + RapidDeploy 911 cloud platform acquisition,347,59542346,58796409,131505223,108092792,112260470,79813246,65174108,105868291,99754831,136450336,"APX4 (38%, NYPD, CITYWIDE: PURCHASE OF 8,889 APEX); APX3 (13%, NYPD, CITYWIDE: PURCHASE OF 10,150 APEX); 161B (6%, COMMUNICATIONS DIVISION); LS01 (6%, NYPD, CITYWIDE: RADIO TRANSMITTER CORE I); 7600 (5%, ECTP RELATED COSTS); 0800 (5%, WIRELESS); LS02 (4%, NYPD, CITY-WIDE: HARDWARE, SOFTWARE, & P); 0837 (2%, FFY21-22SICG); MRIO (2%, FDNY: MOBILE RADIO EQUIPMENT SYSTEM INCL); RADA (2%, DCAS MOTOROLA APX NEXT N70 SMART RADIOS)",CAPITAL PURCHASED EQUIPMENT (75%); CONTRACTUAL SERVICES GENERAL (12%); MAINT & REP GENERAL (6%); EQUIPMENT GENERAL (4%); TELECOMMUNICATIONS EQUIPMENT (1%); DATA PROCESSING EQUIPMENT MAINTENANCE (1%); SUPPLIES + MATERIALS - GENERAL (0%); DATA PROCESSING SUPPLIES (0%); TELECOMMUNICATIONS MAINT (0%); OTHR SERV AND CHRGS-GENERAL (0%),0.0
PRESIDIO NETWORKED SOLUTIONS GROUP LLC,Mixed,Administration for Children's Services; Board of Correction; Borough President - Brooklyn; Borough President - Manhattan; Commission on Human Rights; Department of Buildings; Department of Citywide Administrative Services; Department of Consumer & Worker Protection; Department of Education; Department of Finance; Department of Health and Mental Hygiene; Department of Information Technology and Telecommunications; Department of Parks and Recreation; Department of Records and Information Services; Department of Sanitation; Department of Social Services; Department of Youth and Community Development; Independent Budget Office; Landmarks Preservation Commission; Law Department; Mayoralty; NYC Taxi and Limousine Commission; Office of Administrative Trials and Hearings; Office of Payroll Administration; SCHOOL CONSTRUCTION AUTHORITY,Application development and modernization + digital transformation services,911,56138019,12733871,37729473,56224277,54908951,76028048,135838882,130146050,83593917,83898456,"7719 (22%, DIIT); CON5 (18%, 040 SSBA-CC); 0631 (13%, 311 TELECOMM MODERNIZATION); 4648 (7%, GE CENTRAL MANAGED SCH SUPP); 5200 (7%, TELECOM SERVICES - I/C); TEC3 (4%, TEC3); 0711 (3%, PUBLIC SAFETY IT SERVICES); E706 (3%, IMPLEMENTATION OF THE SEVENTH FIVE-YEAR); CYBE (3%, HRA; PROCURE HARDWARE, SOFTWARE & PROFES); EOLS (3%, ACS: PURCHASE NETWORK SWITCH IT EQUIPMEN)",CONSTRUCTION-BUILDINGS (29%); DATA PROCESSING EQUIPMENT MAINTENANCE (20%); SUPPLIES + MATERIALS - GENERAL (16%); CAPITAL PURCHASED EQUIPMENT (11%); PROF SERV OTHER (5%); TELECOMMUNICATIONS MAINT (4%); CAPITAL ONLY FUNDED SBITA (4%); CONTRACTUAL SERVICES GENERAL (4%); PROF SERV COMPUTER SERVICES (3%); EQUIPMENT GENERAL (1%),7.0
VEXCEL CORPORATION,Digital,Police Department,Microsoft subsidiary - cloud integration + AI/IoT + digital twins + 3D mapping for government,22,5033487,2948853,6254334,4153487,2052892,0,0,0,80363945,71965483,"2756 (74%, FFY23 URBAN AREA SECURITY INITIATIVE); 161B (14%, COMMUNICATIONS DIVISION); 4631 (6%, DAS); 4601 (4%, MANAGEMENT INFORMATION SYSTEMS); 1992 (1%, FFY22 S LAW ENFORCEMENT TERRORISM PREVEN); 2755 (1%, FFY22 URBAN AREA SECURITY INITIATIVE); 1832 (0%, FFY19 - PORT SECURITY GRANT PROGRAM)",CONTRACTUAL SERVICES GENERAL (100%),0.0
WORLD WIDE TECHNOLOGY LLC,Mixed,Administration for Children's Services; Board of Elections; Borough President - Brooklyn; Business Integrity Commission; City Council; Civilian Complaint Review Board; Conflicts of Interest Board; Department of Buildings; Department of City Planning; Department of Citywide Administrative Services; Department of Consumer & Worker Protection; Department of Correction; Department of Design and Construction; Department of Emergency Management; Department of Environmental Protection; Department of Finance; Department of Health and Mental Hygiene; Department of Homeless Services; Department of Information Technology and Telecommunications; Department of Parks and Recreation; Department of Probation; Department of Records and Information Services; Department of Sanitation; Department of Small Business Services; Department of Social Services; Department of Transportation; Financial Information Services Agency; Fire Department; Housing Preservation and Development; Independent Budget Office; Law Department; Mayoralty; NYC Taxi and Limousine Commission; New York Public Library; OFFICE OF CRIMINAL JUSTICE; Office of Administrative Trials and Hearings; Office of the Comptroller; Police Department,Application software development + digital experiences + largest NYC minority-owned contract,546,0,0,0,0,898,612,31403,56207026,77238068,74282926,"4601 (21%, MANAGEMENT INFORMATION SYSTEMS); 3400 (11%, IU - NETWORK OPERATIONS); 1054 (8%, MANAGEMENT INFORMATION SERVICE); 0711 (7%, PUBLIC SAFETY IT SERVICES); NDC1 (6%, OCME, 2 METROTECH CENTER, BKLYN: PURCHAS); 3004 (4%, PC PURCHASING CONSOLIDATION); 3307 (4%, TECHNOLOGY DEVELOPMENT & SYSTEMS); 3310 (4%, INFRASTRUCTURE TECH ARCHITECTURE); 3330 (3%, IT OPERATIONS - DATA PROTECTION SERVICES); 4332 (2%, FFY 2023 STATE HOMELAND SECURITY GRANT)",DATA PROCESSING EQUIPMENT MAINTENANCE (61%); CAPITAL PURCHASED EQUIPMENT (11%); CONTRACTUAL SERVICES GENERAL (10%); PROF SERV COMPUTER SERVICES (5%); DATA PROCESSING SERVICES (4%); DATA PROCESSING SUPPLIES (3%); MAINT & REP GENERAL (2%); PURCH DATA PROCESSING EQUIPT (2%); EXPENSE ONLY FUNDED SBITA (1%); CAPITAL ONLY FUNDED SBITA (1%),7.0
"PRUTECH SOLUTIONS, INC",Digital,Conflicts of Interest Board; Department of Citywide Administrative Services; Department of Design and Construction; Department of Education; Department of Environmental Protection; Department of Homeless Services; Department of Information Technology and Telecommunications; Department of Sanitation; Department of Small Business Services; Department of Social Services; Fire Department; Housing Preservation and Development; Law Department; SCHOOL CONSTRUCTION AUTHORITY,"IT consulting: custom application development, Salesforce implementation for government, cloud services, digital transformation",214,7180918,6755387,12865619,23475553,28812542,41721539,40405869,58077714,52752941,61114252,"TEC3 (24%, TEC3); 7719 (20%, DIIT); 4648 (13%, GE CENTRAL MANAGED SCH SUPP); 3307 (9%, TECHNOLOGY DEVELOPMENT & SYSTEMS); 9912 (5%, MANAGEMENT INFORMATION SYSTEMS); 9940 (5%, DHS ITS); 8811 (3%, MYCITY PROJECT); OATP (2%, DAVID N DINKINS MUNICIPAL BLDG, 1 CENTRE); E706 (2%, IMPLEMENTATION OF THE SEVENTH FIVE-YEAR); 9580 (2%, PUBLIC ENGAGEMENT AOTPS)",PROF SERV COMPUTER SERVICES (59%); CONSTRUCTION-BUILDINGS (28%); CAPITAL PURCHASED EQUIPMENT (4%); DATA PROCESSING EQUIPMENT MAINTENANCE (3%); PROF SERV OTHER (2%); CONTRACTUAL SERVICES GENERAL (2%); ADMINISTRATIVE EXPENSES (2%); CAPITAL ONLY FUNDED SBITA (1%); PROF SERV ENGINEER & ARCHITECT (0%); DATA PROCESSING SUPPLIES (0%),60.0
MTX B2B SOLUTIONS LLC,Digital,Department of Information Technology and Telecommunications,"Digital transformation consulting: Salesforce development, mobile/web apps, grant and license management systems, AI-driven document automation",3,0,0,38466,67364,0,15893259,47551291,19718671,38140198,9628859,"M001 (91%, ASLYUM SUPPORT); CVV2 (9%, VACCINE COSTS - FEMA)",CONTRACTUAL SERVICES GENERAL (100%),0.0
