vendor,fy2025_spending,transaction_count,spending_categories,expense_categories,category,rationale
TECHNOLOGY SERVICES - PS,84601857.84,3177,Payroll,Payroll Summary,Internal,OTI payroll line
VERIZON BUSINESS NETWORK SERVICES LLC,76326651.07,386,Contracts,CONTRACTUAL SERVICES GENERAL; TELECOMMUNICATIONS MAINT; TELEPHONE & OTHER COMMUNICATNS,Hardware,Telecom/network carrier
AT&T CORP,37820135.69,858,Contracts,TELECOMMUNICATIONS EQUIPMENT; TELEPHONE & OTHER COMMUNICATNS,Hardware,Telecom/network carrier
MTX GROUP INC,32790342.44,11,Contracts,CONTRACTUAL SERVICES GENERAL,Digital,Salesforce/cloud implementation — same company as MTX B2B Solutions LLC already in main list
BROOKLYN NY II SGF LLC,26396917.54,56,Capital Contracts; Contracts,CAPITAL PURCHASED EQUIPMENT; MAINT & REP GENERAL; RENTALS - LAND BLDGS & STRUCTS,Nontechnical,OTI office real estate
311 PS,20944112.34,519,Payroll,Payroll Summary,Internal,311 call center payroll
911 TECHNICAL OPERATIONS- PS,20943104.91,970,Payroll,Payroll Summary,Internal,911 operations payroll
ADMIN/OPERATIONS PS,20771069.68,1520,Payroll,Payroll Summary,Internal,OTI admin payroll
CABLEVISION LIGHTPATH,19134938.31,541,Contracts,CONTRACTUAL SERVICES GENERAL; TELECOMMUNICATIONS MAINT; TELEPHONE & OTHER COMMUNICATNS,Hardware,Fiber/telecom carrier
CELLCO PARTNERSHIP,18454748.39,19,Contracts,TELEPHONE & OTHER COMMUNICATNS,Hardware,Verizon Wireless carrier
KING TELESERVICES LLC,17942200.75,38,Contracts,TEMPORARY SERVICES,Hardware,Telecom services
NEW YORK CITY CYBER COMMAND,16803276.1,238,Payroll,Payroll Summary,Internal,Internal city cyber unit
TIME WARNER CABLE NEW YORK CITY LLC,15701211.27,598,Contracts; Trust & Agency,OTHER EXPENDITURES-GENERAL; TELECOMMUNICATIONS MAINT; TELEPHONE & OTHER COMMUNICATNS,Hardware,Cable/fiber carrier
Forest City Bridge Street Associates II LLC,11800608.41,59,Contracts,RENTALS - LAND BLDGS & STRUCTS,Nontechnical,OTI office real estate
MAYOR'S OFFICE OF MEDIA & ENTERTAINMENT,9254363.34,637,Payroll,Payroll Summary,Internal,"City agency, not external vendor"
CenturyLInk Communications LLC,7069073.33,121,Contracts,MAINT & REP GENERAL; TELEPHONE & OTHER COMMUNICATNS,Hardware,Telecom/fiber carrier
CITIZENS COMMITTEE FOR NEW YORK CITY INC,7031200.0,3,Contracts,CONTRACTUAL SERVICES GENERAL,Nontechnical,Nonprofit community programs
"LANGUAGE LINE SERVICES, INC.",4235213.07,41,Contracts,CONTRACTUAL SERVICES GENERAL; OTHR SERV AND CHRGS-GENERAL,Nontechnical,Interpretation/translation services
T-MOBILE USA INC,3384576.08,67,Contracts,TELEPHONE & OTHER COMMUNICATNS,Hardware,Mobile carrier
FORREST CITY MYRTLE ASSOCIATES LLC,3243935.86,45,Contracts,RENTALS - LAND BLDGS & STRUCTS,Nontechnical,Real estate
CROWN CASTLE FIBER LLC,2892079.24,360,Contracts,TELECOMMUNICATIONS MAINT; TELEPHONE & OTHER COMMUNICATNS,Hardware,Fiber/small cell infrastructure
DIGITAL REALTY TRUST LP,2707962.17,28,Contracts,RENTALS - LAND BLDGS & STRUCTS,Hardware,Data center/colocation
EMPIRE STATE BLDG. CO.,1764052.6,17,Contracts,RENTALS - LAND BLDGS & STRUCTS,Nontechnical,OTI office real estate
NYI-SIRIUS LLC,1608766.71,26,Contracts,MAINT & REP GENERAL; TELEPHONE & OTHER COMMUNICATNS,Hardware,Data center/colocation
BRIDGE PHILANTHROPIC CONSULTING LLC,1461920.0,2,Contracts,CONTRACTUAL SERVICES GENERAL,Nontechnical,Nonprofit consulting
4TS HOLDINGS II LLC,1049984.41,47,Contracts,CONTRACTUAL SERVICES GENERAL; RENTALS - LAND BLDGS & STRUCTS,Nontechnical,Real estate
SAS INSTITUTE INC.,872130.0,2,Contracts,DATA PROCESSING EQUIPMENT MAINTENANCE,Digital,Major analytics/data science software platform
FREELANCERS UNION INC,781690.75,12,Contracts,CONTRACTUAL SERVICES GENERAL; TEMPORARY SERVICES,Nontechnical,Benefits/union administration
GAZELLE GLOBALIZATION GROUP LL,642500.0,5,Contracts,OTHR SERV AND CHRGS-GENERAL,Nontechnical,Translation/globalization services
AVIVA SERVICES INC,605070.01,15,Contracts,PROF SERV COMPUTER SERVICES,Nontechnical,Staffing agency
JP MORGAN CHASE BANK NA,589760.67,23,Contracts,NON OVERNIGHT TRVL EXP-GENERAL; OVERNIGHT TRVL EXP-GENERAL; SUPPLIES + MATERIALS - GENERAL,Nontechnical,Banking/financial services
GLOW MEDIA AND MARKETING INC,568086.82,10,Contracts,CONTRACTUAL SERVICES GENERAL,Nontechnical,Marketing agency
TOP TEMPORARIES INC,534694.67,48,Contracts,TEMPORARY SERVICES,Nontechnical,Temp staffing
IDENTITY THEFT GUARD SOLUTIONS INC,505488.03,7,Contracts,CONTRACTUAL SERVICES GENERAL,Digital,Identity protection software service
