payee_name,maker,fiscal_year,spend,checks
CDW GOVERNMENT LLC,Unattributed,2022,536308481.81,74357
CDW GOVERNMENT LLC,Unattributed,2025,381510260.05,50247
DELL MARKETING LP,Microsoft,2026,346355097.91,68
CDW GOVERNMENT LLC,Unattributed,2026,290079726.43,35623
CDW GOVERNMENT LLC,Unattributed,2024,281923676.03,41189
CDW GOVERNMENT LLC,Unattributed,2018,260961810.03,55197
CDW GOVERNMENT LLC,Unattributed,2021,253530717.72,47878
CDW GOVERNMENT LLC,Unattributed,2017,244584834.12,58034
CDW GOVERNMENT LLC,Unattributed,2023,242619326.59,40366
CDW GOVERNMENT LLC,Unattributed,2019,236923875.28,54011
CDW GOVERNMENT LLC,Unattributed,2020,208217235.96,38826
CDW GOVERNMENT LLC,Unattributed,2016,204321596.76,49702
DELL MARKETING LP,Microsoft,2021,202947518.05,52
CDW GOVERNMENT LLC,Google,2024,168965503.4,54
CDW GOVERNMENT LLC,Google,2026,160702412.1,84
PRESIDIO NETWORKED SOLUTIONS GROUP LLC,Unattributed,2022,134429676.71,454
DELL MARKETING LP,Unattributed,2022,126028867.22,489
PRESIDIO NETWORKED SOLUTIONS GROUP LLC,Unattributed,2023,122577971.46000001,731
DELL MARKETING LP,Unattributed,2024,119676302.84,529
SHI INTERNATIONAL CORP,Unattributed,2022,115991656.81,800
WORLD WIDE TECHNOLOGY LLC,Unattributed,2026,111587608.96000001,115
PRESIDIO NETWORKED SOLUTIONS GROUP LLC,Unattributed,2026,97126097.5,868
SHI INTERNATIONAL CORP,Unattributed,2026,92237793.64,1926
SHI INTERNATIONAL CORP,Unattributed,2023,87490721.0,804
SHI INTERNATIONAL CORP,Unattributed,2024,84998536.53,1043
CDW GOVERNMENT LLC,Unattributed,2015,83403015.34,43251
SHI INTERNATIONAL CORP,Unattributed,2025,77560285.6,718
DELL MARKETING LP,Microsoft,2019,75784737.28,26
PRESIDIO NETWORKED SOLUTIONS GROUP LLC,Unattributed,2025,73394267.63,715
WORLD WIDE TECHNOLOGY LLC,Cisco,2026,72240133.34,164
SHI INTERNATIONAL CORP,Unattributed,2021,70352491.85,1193
DELL MARKETING LP,Unattributed,2025,66763255.01,671
PRESIDIO NETWORKED SOLUTIONS GROUP LLC,Unattributed,2024,66171071.43,734
SHI INTERNATIONAL CORP,Unattributed,2020,60531168.36,1416
CDW GOVERNMENT LLC,Palo Alto Networks,2026,59778871.88,34
CDW GOVERNMENT LLC,Dell/EMC,2023,57625534.36,356
PRESIDIO NETWORKED SOLUTIONS GROUP LLC,Unattributed,2021,56068396.75,402
WORLD WIDE TECHNOLOGY LLC,Cisco,2024,56018101.03,308
DELL MARKETING LP,Microsoft,2020,51057026.4,19
PRESIDIO NETWORKED SOLUTIONS GROUP LLC,Unattributed,2019,48205664.98,530
DELL MARKETING LP,Unattributed,2023,47391682.79,546
SHI INTERNATIONAL CORP,VMware,2025,45531410.61,13
PRESIDIO NETWORKED SOLUTIONS GROUP LLC,Cisco,2016,44624688.96,83
WORLD WIDE TECHNOLOGY LLC,Cisco,2023,43112651.19,169
CDW GOVERNMENT LLC,Dell/EMC,2026,42532320.36,277
CDW GOVERNMENT LLC,Dell/EMC,2022,41903206.47,188
CDW GOVERNMENT LLC,Dell/EMC,2024,41278578.33,198
DELL MARKETING LP,Microsoft,2016,40578839.35,7
CDW GOVERNMENT LLC,Palo Alto Networks,2025,39710793.730000004,31
CDW GOVERNMENT LLC,Palo Alto Networks,2024,37192602.19,26
DELL MARKETING LP,Unattributed,2026,35926834.23,454
CDW GOVERNMENT LLC,Dell/EMC,2021,35418288.6,94
DELL MARKETING LP,Microsoft,2017,34247222.28,22
PRESIDIO NETWORKED SOLUTIONS GROUP LLC,Unattributed,2020,34219192.45,430
CDW GOVERNMENT LLC,Google,2023,33771152.19,38
SHI INTERNATIONAL CORP,VMware,2023,33432711.91,19
CDW GOVERNMENT LLC,Dell/EMC,2025,32142284.72,303
DELL MARKETING LP,Dell/EMC,2021,31523516.51,52
DELL MARKETING LP,Unattributed,2015,31268937.15,11575
DELL MARKETING LP,Unattributed,2016,30355848.1,9416
DELL MARKETING LP,Unattributed,2018,28825997.57,9079
DELL MARKETING LP,Unattributed,2017,28652735.44,3758
CDW GOVERNMENT LLC,Cisco,2023,28380056.08,39
WORLD WIDE TECHNOLOGY LLC,Cisco,2025,27917222.330000002,132
DELL MARKETING LP,Microsoft,2018,25666709.69,14
DELL MARKETING LP,Unattributed,2019,25404445.46,1874
SHI INTERNATIONAL CORP,Unattributed,2015,24540499.95,4262
SHI INTERNATIONAL CORP,Red Hat,2026,24278174.130000003,40
PRESIDIO NETWORKED SOLUTIONS GROUP LLC,Cisco,2018,24034917.97,45
CDW GOVERNMENT LLC,Cisco,2019,23622332.67,79
DELL MARKETING LP,Microsoft,2015,23213106.96,11
SHI INTERNATIONAL CORP,Trellix/McAfee,2025,22390347.99,35
CDW GOVERNMENT LLC,IBM,2024,21161191.25,65
CDW GOVERNMENT LLC,IBM,2022,20837404.3,67
SHI INTERNATIONAL CORP,ServiceNow,2026,20674523.71,70
PRESIDIO NETWORKED SOLUTIONS GROUP LLC,Cisco,2020,20550651.59,72
CDW GOVERNMENT LLC,Dell/EMC,2020,20048917.84,108
CDW GOVERNMENT LLC,IBM,2026,19935251.19,101
DELL MARKETING LP,Unattributed,2020,19796206.34,562
SHI INTERNATIONAL CORP,CrowdStrike,2026,19656993.93,4
SHI INTERNATIONAL CORP,Unattributed,2019,19469199.29,869
CDW GOVERNMENT LLC,IBM,2023,19145002.509999998,130
CDW GOVERNMENT LLC,Google,2022,18980777.3,26
CDW GOVERNMENT LLC,IBM,2020,18804578.419999998,38
SHI INTERNATIONAL CORP,CrowdStrike,2025,18678329.46,2
SHI INTERNATIONAL CORP,Unattributed,2016,18644240.68,2312
DELL MARKETING LP,Unattributed,2021,17423265.59,382
