contract_purpose,maker,evidence
Dell MS ELA,Microsoft,"MS = Microsoft ELA sold via Dell (NYC's MS license reseller); sibling purposes on budget code 3334 'MICROSOFT ELA INTRA-CITY FUNDING' say 'Microsoft ELA'"
Dell MS-ELA,Microsoft,"Same Microsoft ELA series via Dell"
DELL MS-ELA,Microsoft,"Same Microsoft ELA series via Dell; appears on budget code 3334 (MICROSOFT ELA INTRA-CITY FUNDING)"
DELL-MS ELA,Microsoft,"Same Microsoft ELA series via Dell; budget code 3334"
OTI MS ELA Renewal - Year 1,Microsoft,"Budget code MELA (OTI: PURCHASE OF MICROSOFT S...); MS ELA = Microsoft Enterprise License Agreement"
Additional MS ELA,Microsoft,"Budget code 3334 (MICROSOFT ELA INTRA-CITY FUNDING)"
ENDPOINT PROTECTION ELA,CrowdStrike,"Same NYC Cyber Command series (budget code 1300, annual via SHI); FY26 purpose in series reads 'ENDPOINT PROTECTION FY26 RENEWAL-CROWDSTRIKE-C'; FY19 'CROWDSTRIKE ELA PURCHASE ORDER #1' on cyber command budget"
ENDPOINT PROTECTION ELA (YEAR 2 OF MULTI-YEAR PO),CrowdStrike,"Same series as above"
ENDPOINT PROTECTION ELA YEAR 4,CrowdStrike,"Same series as above"
ENDPOINT PROTECTION FY25 RENEWAL,CrowdStrike,"Same series as above"
ENDPOINT DETECT AND RESPONSE SOFTWARE LICENSES,CrowdStrike,"Cyber Command bc 1300 FY20, between FY19 CrowdStrike ELA PO#1 and FY21 ENDPOINT PROTECTION ELA"
USER AND ENTITY BEHAVIORAL ANALYTICS RENEWAL,Securonix,"FY26 same-series purpose reads 'USER-ENTITY BEHAVIORAL ANALYTICS (SECURONIX)' (bc 1300)"
USER AND ENTITY BEHAVIOR ANALYTICS RENEWAL,Securonix,"Same series"
NYC3 UEBA,Securonix,"Same series (NYC3 = NYC Cyber Command)"
CLOUD DEPLOY RESOURCES RENEWAL,Google,"Same bc 1300 series; FY26 purpose reads 'GOOGLE CLOUD DEPLOY RESOURCES YEAR 2'"
CLOUD DEPLOY - INFRASTRUCTURE RESOURCES,Google,"Same series"
CLOUD DEPLOY RESOURCES FY24 RENEWAL,Google,"Same series"
EMAIL THREAT PROTECTION RENEWAL,Proofpoint,"Same bc 1300 series; FY26 purpose reads 'EMAIL THREAT PROTECTION YEAR 2 (PROOFPOINT)'"
APT SOLUTION HW-SW MAINT RENEWAL - NETWORK TRAFFIC,Gigamon,"Same bc 1300 series; sibling purpose reads 'APT SOLUTION HW-SW MAINT RENEWAL YEAR 3 (GIGAMON)'"
APP SCAN LICENSES,Veracode,"Same bc 1300 series; FY25-26 purposes read 'APPLICATION SCAN LICENSES (VERACODE)'"
APP SCAN LICENSES YEAR 2,Veracode,"Same series"
APP SCAN LICENSES YEAR 3,Veracode,"Same series"
ENDPOINT MANAGED SERVICES,Reveald,"Same bc 1300 series; FY26 purpose reads 'ENDPOINT MANAGED SERVICES RENEWAL FY26 (REVEALD)'"
ENDPOINT MANAGED SERVICES RENEWAL,Reveald,"Same series"
ENDPOINT MANAGED SERVICES RENEWAL FY24,Reveald,"Same series"
F212FSAAS FIRES SAAS (Software-as-a-Service)  Pin # 368,Accela,"FIRES project (FDNY inspections, bc 3327) runs on Accela per sibling purposes 'Accela software support' on FIRES PROJECT budget code"
APPLICATION SOFTWARE - DYNAMICS LICENSE,Microsoft,"Budget code DYNA (ACS; PROCURE DYNAMICS SUBSCRIPTION) via Dell = Microsoft Dynamics"
Z16 MAINFRAME UPGRADE CP,IBM,"z16 is IBM's mainframe line"
ENTERPRISE EOS ROUTERS AND IPADS,Multiple makers,"Bundle: end-of-support router replacement (maker unnamed) plus Apple iPads; EOS here means end-of-support, not Arista EOS"
SERVICENOW # DCMB02228 NGAN HARBOR SECURITY,Unattributed,"'SERVICENOW # DCMB' on OTI/WWT purchase orders is an internal ticket reference, not the product"
SERVICENOW # DCMB00438 & 439 E-SUBPOENA SERVICE,Unattributed,"Ticket reference, not the product"
SERVICENOW # DCMB00455 FUSUS CAMERA SYSTEMS,Axon,"Fusus is Axon's real-time crime center platform; sibling purpose 'AXON FUSUS CAMERA SYSTEMS (DCMB14210)'"
REDIS ENTERPRISE SERVICENOW # DCMB0,Redis,"Product is Redis Enterprise; SERVICENOW # DCMB is a ticket reference"
CAPITAL PURCHASE OF EOLBROCADE AND CABLE EXP,Unattributed,"Ambiguous: purchase to replace end-of-life Brocade gear; replacement maker unnamed"
Dell SAP Business Objects,SAP,"Product is SAP BusinessObjects, sold via Dell"
